Orthogroup	afumigatus	anidulans	calbicans	Total
OG0000000	0	25	0	25
OG0000001	0	18	0	18
OG0000002	0	8	0	8
OG0000003	0	7	0	7
OG0000004	0	6	0	6
OG0000005	0	0	6	6
OG0000006	0	5	0	5
OG0000007	3	0	0	3
OG0000008	3	0	0	3
OG0000009	3	0	0	3
OG0000010	3	0	0	3
OG0000011	0	3	0	3
OG0000012	0	3	0	3
OG0000013	0	0	3	3
OG0000014	0	0	3	3
OG0000015	0	0	3	3
OG0000016	0	0	3	3
OG0000017	0	0	3	3
OG0000018	2	0	0	2
OG0000019	1	1	0	2
OG0000020	1	1	0	2
OG0000021	1	1	0	2
OG0000022	2	0	0	2
OG0000023	2	0	0	2
OG0000024	1	1	0	2
OG0000025	2	0	0	2
OG0000026	2	0	0	2
OG0000027	1	1	0	2
OG0000028	2	0	0	2
OG0000029	2	0	0	2
OG0000030	1	1	0	2
OG0000031	2	0	0	2
OG0000032	2	0	0	2
OG0000033	2	0	0	2
OG0000034	2	0	0	2
OG0000035	2	0	0	2
OG0000036	2	0	0	2
OG0000037	2	0	0	2
OG0000038	2	0	0	2
OG0000039	1	1	0	2
OG0000040	2	0	0	2
OG0000041	1	1	0	2
OG0000042	1	1	0	2
OG0000043	2	0	0	2
OG0000044	2	0	0	2
OG0000045	2	0	0	2
OG0000046	2	0	0	2
OG0000047	1	1	0	2
OG0000048	2	0	0	2
OG0000049	2	0	0	2
OG0000050	2	0	0	2
OG0000051	1	1	0	2
OG0000052	2	0	0	2
OG0000053	1	1	0	2
OG0000054	1	1	0	2
OG0000055	2	0	0	2
OG0000056	1	1	0	2
OG0000057	2	0	0	2
OG0000058	1	1	0	2
OG0000059	1	1	0	2
OG0000060	1	1	0	2
OG0000061	1	1	0	2
OG0000062	1	1	0	2
OG0000063	1	1	0	2
OG0000064	2	0	0	2
OG0000065	1	1	0	2
OG0000066	2	0	0	2
OG0000067	1	1	0	2
OG0000068	1	1	0	2
OG0000069	0	2	0	2
OG0000070	0	2	0	2
OG0000071	0	2	0	2
OG0000072	0	2	0	2
OG0000073	0	2	0	2
OG0000074	0	2	0	2
OG0000075	0	2	0	2
OG0000076	0	2	0	2
OG0000077	0	2	0	2
OG0000078	0	2	0	2
OG0000079	0	2	0	2
OG0000080	0	2	0	2
OG0000081	0	2	0	2
OG0000082	0	2	0	2
OG0000083	0	2	0	2
OG0000084	0	2	0	2
OG0000085	0	2	0	2
OG0000086	0	2	0	2
OG0000087	0	2	0	2
OG0000088	0	2	0	2
OG0000089	0	2	0	2
OG0000090	0	2	0	2
OG0000091	0	0	2	2
OG0000092	0	0	2	2
OG0000093	0	0	2	2
OG0000094	0	0	2	2
OG0000095	0	0	2	2
OG0000096	0	0	2	2
OG0000097	0	0	2	2
OG0000098	0	0	2	2
OG0000099	0	0	2	2
OG0000100	0	0	2	2
OG0000101	0	0	2	2
OG0000102	0	0	2	2
OG0000103	0	0	2	2
OG0000104	0	0	2	2
OG0000105	0	0	2	2
OG0000106	0	0	2	2
OG0000107	0	0	2	2
OG0000108	0	0	2	2
OG0000109	0	0	2	2
OG0000110	0	0	2	2
OG0000111	0	0	2	2
OG0000112	0	0	2	2
OG0000113	0	0	2	2
OG0000114	0	0	2	2
OG0000115	0	0	2	2
OG0000116	0	0	2	2
OG0000117	0	0	2	2
OG0000118	0	0	2	2
OG0000119	0	0	2	2
OG0000120	0	0	2	2
OG0000121	0	0	2	2
OG0000122	0	0	2	2
OG0000123	0	0	2	2
OG0000124	0	0	2	2
OG0000125	0	0	2	2
OG0000126	0	0	2	2
OG0000127	0	0	2	2
OG0000128	0	0	2	2
OG0000129	0	0	2	2
OG0000130	0	0	2	2
OG0000131	0	0	2	2
OG0000132	0	0	2	2
OG0000133	0	0	2	2
OG0000134	0	0	2	2
OG0000135	0	0	2	2
OG0000136	0	0	2	2
OG0000137	0	0	2	2
OG0000138	0	0	2	2
OG0000139	0	0	2	2
OG0000140	0	0	2	2
OG0000141	0	0	2	2
OG0000142	0	0	2	2
OG0000143	0	0	2	2
OG0000144	0	0	2	2
OG0000145	0	0	2	2
OG0000146	0	0	2	2
OG0000147	0	0	2	2
OG0000148	0	0	2	2
OG0000149	0	0	2	2
OG0000150	0	0	2	2
OG0000151	0	0	2	2
