ndiscreta	cneoformans	cparapsilosis	calbicans	afumigatus	spombe	moryzae	cglabrata	ntetrasperma	fgraminearum	anidulans	ncrassa	lkluyveri	skudriavzevii	sbayanus	sparadoxus	smikatae	scerevisiae	ncastellii
												SAKL0G07128g	Skud_15.193	Sbay_8.81	Spar_15.224	Smik_15.206	NP_014671.1	XP_003677320.1
NEUDI_73436	CNAG_01159	CPAR2_808550	C306770WA	AFUB_042270	SPBC365.05c	MGG_02985	CAGL0H04917g	NEUTE1DRAFT_149508	FGRAMPH1_01G11115	AN4788	NCU01950	SAKL0H18172g	Skud_4.343	Sbay_2.248	Spar_4.392	Smik_4.327	NP_010373.3	XP_003674863.1
NEUDI_88830	CNAG_00855	CPAR2_603430	C604470CA	AFUB_011550	SPBC947.10	MGG_15830	CAGL0L01947g	NEUTE1DRAFT_120221	FGRAMPH1_01G24159	AN1075	NCU03740	SAKL0A09812g	Skud_11.192	Sbay_11.189	Spar_11.234	Smik_11.213	NP_012890.1	XP_003673421.1
		CPAR2_200840	CR09590WA	AFUB_078310	SPAC19G12.11	MGG_15280	CAGL0A03949g	NEUTE1DRAFT_117824	FGRAMPH1_01G26159	AN3738	NCU02403	SAKL0F11396g	Skud_12.265	Sbay_10.296	Spar_12.308	Smik_12.260	NP_013302.1	XP_003676716.1
NEUDI_166880	CNAG_06767	CPAR2_200290	CR10850CA	AFUB_003510	SPBC13E7.04	MGG_16459	CAGL0C04455g	NEUTE1DRAFT_117051	FGRAMPH1_01G22823	AN10032	NCU00385	SAKL0C11374g	Skud_4.250	Sbay_4.249	Spar_4.278	Smik_4.232	NP_010280.1	XP_003678096.1
NEUDI_76369	CNAG_06799	CPAR2_404040	C210860CA	AFUB_005420	SPCC4B3.05c	MGG_01622	CAGL0H08371g	NEUTE1DRAFT_93266	FGRAMPH1_01G03353	AN2733	NCU02771	SAKL0D02728g	Skud_4.301	Sbay_2.204	Spar_4.348	Smik_4.285	NP_010332.3	XP_003674008.1
NEUDI_49528	CNAG_04372	CPAR2_404730	C503360WA	AFUB_005520	SPCC1020.04c	MGG_05321	CAGL0G10043g	NEUTE1DRAFT_81564	FGRAMPH1_01G22909	AN2747	NCU11012	SAKL0F16192g	Skud_16.491	Sbay_16.519	Spar_16.562	Smik_16.451	NP_015513.1	XP_003674464.1
NEUDI_167412	CNAG_00058	CPAR2_406390	C207310WA	AFUB_073500	SPAC1420.02c	MGG_11889	CAGL0F00539g	NEUTE1DRAFT_132020	FGRAMPH1_01G27019	AN1904	NCU03980	SAKL0D12782g	Skud_10.288	Sbay_12.153	Spar_10.342	Smik_10.354	NP_012598.1	XP_003674164.1
NEUDI_22354	CNAG_00086	CPAR2_800940	CR00900WA	AFUB_043780	SPBC25D12.05	MGG_01448	CAGL0B01881g	NEUTE1DRAFT_60425	FGRAMPH1_01G26477	AN9406	NCU06336	SAKL0H16764g	Skud_4.381	Sbay_2.281	Spar_4.429	Smik_4.365	NP_010405.3	XP_003674833.1
NEUDI_167489	CNAG_05194	CPAR2_401640	C402290WA	AFUB_042490	SPBC8D2.15	MGG_02691	CAGL0I10923g	NEUTE1DRAFT_150819	FGRAMPH1_01G27077	AN9486	NCU00565	SAKL0H08382g	Skud_15.363	Sbay_8.252	Spar_15.403	Smik_15.383	NP_014839.1	XP_003674636.1
