OG0000000: AN0004 AN0376 AN10000 AN10001 AN10256 AN10632 AN10649 AN10846 AN2670 AN2713 AN2714 AN3471 AN3500 AN5065 AN5095 AN5470 AN6966 AN6968 AN7830 AN7831 AN7845 AN7846 AN8295 AN8305 AN8576
OG0000001: AN0669 AN0826 AN0975 AN11044 AN11091 AN2291 AN2732 AN3047 AN3478 AN4391 AN4877 AN5334 AN5863 AN6559 AN7516 AN8788 AN9046 AN9505
OG0000002: AN10066 AN10127 AN10329 AN1070 AN4079 AN4291 AN5956 AN9416
OG0000003: AN0263 AN0683 AN3048 AN4335 AN5963 AN8186 AN9381
OG0000004: AN2661 AN2711 AN2796 AN3980 AN7833 AN8207
OG0000005: lcl|NC_032090.1_cds_XP_019330818.1_2310 lcl|NC_032092.1_cds_XP_710107.2_3445 lcl|NC_032092.1_cds_XP_716542.2_3581 lcl|NC_032094.1_cds_XP_710014.2_4619 lcl|NC_032095.1_cds_XP_720299.2_4779 lcl|NC_032096.1_cds_XP_710262.2_5636
OG0000006: AN0368 AN0621 AN7094 AN7977 AN8648
OG0000007: EDP47064 EDP47889 EDP48566
OG0000008: EDP47913 EDP47950 EDP48586
OG0000009: EDP48546 EDP49511 EDP50765
OG0000010: EDP49504 EDP50758 EDP50819
OG0000011: AN6156 AN8717 AN9495
OG0000012: AN5244 AN5251 AN9239
OG0000013: lcl|NC_032089.1_cds_XP_719072.1_2 lcl|NC_032091.1_cds_XP_717839.1_2353 lcl|NC_032093.1_cds_XP_721963.2_4250
OG0000014: lcl|NC_032089.1_cds_XP_719071.2_3 lcl|NC_032090.1_cds_XP_710489.2_1354 lcl|NC_032094.1_cds_XP_710505.2_4252
OG0000015: lcl|NC_032091.1_cds_XP_019330880.1_2942 lcl|NC_032091.1_cds_XP_716088.1_2941 lcl|NC_032091.1_cds_XP_716639.2_2919
OG0000016: lcl|NC_032091.1_cds_XP_716065.2_2935 lcl|NC_032091.1_cds_XP_716079.2_2922 lcl|NC_032094.1_cds_XP_718074.2_4592
OG0000017: lcl|NC_032094.1_cds_XP_710069.2_4577 lcl|NC_032094.1_cds_XP_719106.2_4500 lcl|NC_032094.1_cds_XP_719146.2_4529
OG0000018: EDP53021 EDP55499
OG0000019: AN1122 EDP56404
OG0000020: AN0357 EDP55550
OG0000021: AN4087 EDP55898
OG0000022: EDP47059 EDP48576
OG0000023: EDP47909 EDP48584
OG0000024: AN1534 EDP48768
OG0000025: EDP47946 EDP48901
OG0000026: EDP48674 EDP49880
OG0000027: AN1523 EDP48779
OG0000028: EDP48540 EDP48598
OG0000029: EDP47058 EDP47911
OG0000030: AN8692 EDP47753
OG0000031: EDP47805 EDP49864
OG0000032: EDP47937 EDP53657
OG0000033: EDP47917 EDP47953
OG0000034: EDP47916 EDP47952
OG0000035: EDP47914 EDP47951
OG0000036: EDP47810 EDP49871
OG0000037: EDP47806 EDP49865
OG0000038: EDP47808 EDP49503
OG0000039: AN6569 EDP47535
OG0000040: EDP47902 EDP52270
OG0000041: AN6629 EDP47601
OG0000042: AN8704 EDP47738
OG0000043: EDP48564 EDP50805
OG0000044: EDP48552 EDP50808
OG0000045: EDP49495 EDP50520
OG0000046: EDP49507 EDP50762
OG0000047: AN1921 EDP49343
OG0000048: EDP49496 EDP50755
OG0000049: EDP49506 EDP50761
OG0000050: EDP49505 EDP50760
OG0000051: AN3954 EDP49377
OG0000052: EDP49509 EDP50763
OG0000053: AN8246 EDP51234
OG0000054: AN10285 EDP51807
OG0000055: EDP51541 EDP53265
OG0000056: AN0163 EDP51875
OG0000057: EDP47062 EDP47114
OG0000058: AN5363 EDP47175
OG0000059: AN2105 EDP54163
OG0000060: AN12246 EDP55192
OG0000061: AN4501 EDP53990
OG0000062: AN9468 EDP54570
OG0000063: AN7294 EDP55191
OG0000064: EDP53260 EDP53281
OG0000065: AN4803 EDP53038
OG0000066: EDP50821 EDP53283
OG0000067: AN4872 EDP52625
OG0000068: AN1973 EDP50441
OG0000069: AN11877 AN2482
OG0000070: AN10650 AN11203
OG0000071: AN12396 AN6882
OG0000072: AN5252 AN9240
OG0000073: AN10687 AN8160
OG0000074: AN0783 AN12220
OG0000075: AN4276 AN4289
OG0000076: AN12423 AN6917
OG0000077: AN10623 AN12442
OG0000078: AN10383 AN3200
OG0000079: AN12188 AN3273
OG0000080: AN12431 AN8000
OG0000081: AN0517 AN8999
OG0000082: AN10627 AN5082
OG0000083: AN2806 AN2807
