Protein_1	Protein_2	Type	Score
NP_011281.1	NP_010353.3	None	0
NP_013877.1	NP_010310.1	None	0
NP_009780.1	NP_015161.1	None	0
NP_015085.1	NP_014991.1	None	0
NP_010975.3	NP_011848.1	None	0
NP_013393.1	NP_014807.3	None	0
NP_010304.3	NP_011786.1	None	0
NP_013662.1	NP_015247.1	None	0
NP_011575.1	NP_012864.1	None	0
NP_015443.1	NP_013930.1	None	0
NP_010281.1	NP_010281.1	None	0
NP_012912.1	NP_015373.1	None	0
NP_009364.1	NP_012357.2	None	0
NP_014635.1	NP_012749.1	None	0
NP_013749.1	NP_011391.2	None	0
NP_010442.3	NP_015416.1	None	0
NP_009645.1	NP_012606.3	None	0
NP_014755.1	NP_012526.1	None	0
NP_013884.1	NP_013023.3	None	0
NP_014904.3	NP_015282.1	None	0
NP_009557.1	NP_013219.1	None	0
NP_010413.3	NP_014896.3	None	0
NP_011671.3	NP_011628.4	None	0
NP_014565.2	NP_011902.1	None	0
NP_010914.3	NP_015323.1	None	0
NP_012918.1	NP_010086.2	None	0
NP_010401.1	NP_116650.1	None	0
NP_013967.1	NP_013810.1	None	0
NP_012035.1	NP_009928.1	None	0
NP_011801.1	NP_010972.1	None	0
NP_014102.1	NP_010365.3	None	0
NP_010223.1	NP_015350.1	None	0
NP_014281.1	NP_015203.1	None	0
NP_009992.1	NP_012606.3	None	0
NP_013095.1	NP_010514.3	None	0
NP_014819.3	NP_116709.3	None	0
NP_013271.1	NP_010223.1	None	0
NP_011663.3	NP_013095.1	None	0
NP_014112.1	NP_013363.1	None	0
NP_015165.1	NP_014785.3	None	0
NP_010756.3	NP_010652.3	None	0
NP_015348.1	NP_011320.3	None	0
NP_014430.1	NP_014886.1	None	0
NP_013115.1	NP_014040.1	None	0
NP_010969.1	NP_014126.1	None	0
NP_015517.1	NP_010737.1	None	0
NP_010449.1	NP_013423.1	None	0
NP_013081.1	NP_010777.3	None	0
NP_011043.1	NP_015443.1	None	0
NP_011308.1	NP_014414.3	None	0
NP_013125.1	NP_013585.1	None	0
NP_011304.2	NP_010426.1	None	0
NP_011267.1	NP_013378.1	None	0
NP_012076.3	NP_012942.3	None	0
NP_014444.1	NP_010466.3	None	0
NP_015107.1	NP_010953.1	None	0
NP_014178.1	NP_012472.1	None	0
NP_013179.1	NP_009992.1	None	0
NP_011486.1	NP_012651.1	None	0
NP_009819.1	NP_011596.1	None	0
NP_012883.1	NP_013851.1	None	0
NP_010786.3	NP_012941.1	None	0
NP_013271.1	NP_009635.1	None	0
NP_010186.1	NP_012651.1	None	0
NP_013834.1	NP_010460.1	None	0
NP_014328.3	NP_012357.2	None	0
NP_009872.1	NP_012526.1	None	0
NP_009811.3	NP_011687.1	None	0
NP_012064.1	NP_009984.1	None	0
NP_010161.1	NP_012220.3	None	0
NP_013662.1	NP_010002.3	None	0
NP_010618.1	NP_015443.1	None	0
NP_013764.1	NP_014708.1	None	0
NP_011321.1	NP_009652.2	None	0
NP_014886.1	NP_010648.3	None	0
NP_012203.1	NP_012725.1	None	0
NP_010859.1	NP_013354.1	None	0
NP_015437.1	NP_011987.1	None	0
NP_010611.3	NP_015511.1	None	0
NP_013533.1	NP_010216.1	None	0
NP_015488.1	NP_010597.3	None	0
NP_013393.1	NP_010223.1	None	0
NP_010466.3	NP_011561.3	None	0
NP_116656.1	NP_116656.1	None	0
NP_014218.2	NP_015242.1	None	0
NP_010760.3	NP_010877.3	None	0
NP_012526.1	NP_014775.3	None	0
NP_010390.3	NP_013677.1	None	0
NP_011335.1	NP_012170.1	None	0
NP_012916.1	NP_014179.1	None	0
NP_012109.1	NP_012995.3	None	0
NP_014179.1	NP_010364.1	None	0
NP_013811.1	NP_010003.2	None	0
NP_011517.1	NP_013264.1	None	0
NP_013064.1	NP_013065.1	None	0
NP_010390.3	NP_011272.1	None	0
NP_011691.1	NP_009635.1	None	0
NP_011631.1	NP_013967.1	None	0
NP_015208.1	NP_011850.1	None	0
NP_012995.3	NP_012834.1	None	0
NP_010329.1	NP_014904.3	None	0
NP_011596.1	NP_015348.1	None	0
NP_011840.1	NP_014414.3	None	0
NP_009626.1	NP_013956.1	None	0
NP_010442.3	NP_013297.1	None	0
NP_015249.1	NP_012169.1	None	0
NP_010707.3	NP_014412.1	None	0
NP_009990.1	NP_013175.1	None	0
NP_011663.3	NP_015481.1	None	0
NP_010737.1	NP_116664.1	None	0
NP_015499.1	NP_014449.1	None	0
NP_013175.1	NP_009738.1	None	0
NP_012547.2	NP_015361.1	None	0
NP_011691.1	NP_011575.1	None	0
NP_013068.1	NP_010353.3	None	0
NP_013198.1	NP_014338.3	None	0
NP_013811.1	NP_012995.3	None	0
NP_010353.3	NP_010862.1	None	0
NP_014819.3	NP_012242.1	None	0
NP_013248.1	NP_013764.1	None	0
NP_010321.1	NP_012202.1	None	0
NP_116629.1	NP_010618.1	None	0
NP_014375.1	NP_014086.1	None	0
NP_014685.1	NP_014377.1	None	0
NP_014267.1	NP_010253.2	None	0
NP_011067.3	NP_011943.2	None	0
NP_012749.1	NP_015174.1	None	0
NP_012925.3	NP_010442.3	None	0
NP_014663.1	NP_013297.1	None	0
NP_010459.1	NP_015203.1	None	0
NP_009370.1	NP_010460.1	None	0
NP_013585.1	NP_014771.3	None	0
NP_013292.1	NP_014328.3	None	0
NP_013459.1	NP_013248.1	None	0
NP_015350.1	NP_012522.2	None	0
NP_013218.1	NP_015323.1	None	0
NP_012629.1	NP_012843.1	None	0
NP_011561.3	NP_013392.1	None	0
NP_012028.1	NP_010681.1	None	0
NP_012058.1	NP_010066.1	None	0
NP_015192.1	NP_013264.1	None	0
NP_010163.1	NP_010068.1	None	0
NP_013451.1	NP_013851.1	None	0
NP_015077.1	NP_013513.3	None	0
NP_012520.1	NP_011671.3	None	0
NP_014902.3	NP_014151.1	None	0
NP_012912.1	NP_009849.1	None	0
NP_013423.1	NP_010914.3	None	0
NP_012621.1	NP_013198.1	None	0
NP_010304.3	NP_011890.1	None	0
NP_012203.1	NP_011628.4	None	0
NP_015208.1	NP_015242.1	None	0
NP_011273.1	NP_014324.3	None	0
NP_015488.1	NP_010281.1	None	0
NP_012445.1	NP_010616.3	None	0
NP_012768.1	NP_013393.1	None	0
NP_012288.1	NP_010405.3	None	0
NP_013505.4	NP_015358.1	None	0
NP_014565.2	NP_010041.2	None	0
NP_011671.3	NP_014429.3	None	0
NP_015453.1	NP_010585.3	None	0
NP_014624.1	NP_010163.1	None	0
NP_010442.3	NP_014167.1	None	0
NP_010648.3	NP_012327.1	None	0
NP_014819.3	NP_009699.2	None	0
NP_009819.1	NP_010707.3	None	0
NP_012924.2	NP_010133.1	None	0
NP_013670.1	NP_014382.1	None	0
NP_012123.1	NP_010448.1	None	0
NP_012109.1	NP_015335.1	None	0
NP_013248.1	NP_014866.3	None	0
NP_009779.3	NP_010946.3	None	0
NP_013564.1	NP_012176.1	None	0
NP_011577.3	NP_015385.1	None	0
NP_009595.1	NP_012567.3	None	0
NP_011391.2	NP_014179.1	None	0
NP_011850.1	NP_013533.1	None	0
NP_015353.1	NP_011373.1	None	0
NP_010115.1	NP_010281.1	None	0
NP_014167.1	NP_010066.1	None	0
NP_015313.1	NP_010514.3	None	0
NP_012879.1	NP_011597.1	None	0
NP_014154.1	NP_010136.1	None	0
NP_013298.1	NP_010514.3	None	0
NP_011451.1	NP_011723.1	None	0
NP_014376.3	NP_012883.1	None	0
NP_010244.1	NP_013271.1	None	0
NP_014167.1	NP_011780.3	None	0
NP_010066.1	NP_011421.1	None	0
NP_011303.1	NP_012051.3	None	0
NP_011505.1	NP_013505.4	None	0
NP_012530.1	NP_010390.3	None	0
NP_010083.1	NP_012124.1	None	0
NP_014151.1	NP_014412.1	None	0
NP_015438.1	NP_012017.1	None	0
NP_015353.1	NP_010353.3	None	0
NP_009652.2	NP_014140.1	None	0
NP_116687.1	NP_012040.1	None	0
NP_011281.1	NP_010281.1	None	0
NP_013267.1	NP_009573.1	None	0
NP_012598.1	NP_012797.1	None	0
NP_012160.2	NP_015437.1	None	0
NP_011850.1	NP_011273.1	None	0
NP_012064.1	NP_009351.1	None	0
NP_011723.1	NP_013967.1	None	0
NP_009984.1	NP_012169.1	None	0
NP_011451.1	NP_012076.3	None	0
NP_010877.3	NP_010281.1	None	0
NP_013987.1	NP_014267.1	None	0
NP_014430.1	NP_014395.3	None	0
NP_013834.1	NP_116615.1	None	0
NP_009912.2	NP_012843.1	None	0
NP_010448.1	NP_011303.1	None	0
NP_014717.2	NP_010585.3	None	0
NP_011505.1	NP_010003.2	None	0
NP_014620.1	NP_013809.1	None	0
NP_010553.3	NP_010618.1	None	0
NP_009370.1	NP_014643.1	None	0
NP_012598.1	NP_011520.2	None	0
NP_010914.3	NP_014430.1	None	0
NP_013109.1	NP_010449.1	None	0
NP_012879.1	NP_015489.1	None	0
NP_012547.2	NP_014382.1	None	0
NP_010452.1	NP_013378.1	None	0
NP_011966.1	NP_015374.1	None	0
NP_012797.1	NP_009351.1	None	0
NP_015282.1	NP_014214.1	None	0
NP_014045.1	NP_014788.1	None	0
NP_015163.1	NP_013533.1	None	0
NP_014807.3	NP_009751.1	None	0
NP_009370.1	NP_012864.1	None	0
NP_012381.1	NP_010253.2	None	0
NP_013064.1	NP_015510.1	None	0
NP_014733.1	NP_444296.1	None	0
NP_011561.3	NP_013884.1	None	0
NP_012445.1	NP_010413.3	None	0
NP_011691.1	NP_014376.3	None	0
NP_013697.1	NP_015511.1	None	0
NP_013393.1	NP_013208.1	None	0
NP_009994.2	NP_011344.1	None	0
NP_010626.1	NP_012445.1	None	0
NP_013248.1	NP_009816.1	None	0
NP_013109.1	NP_014624.1	None	0
NP_012673.3	NP_116664.1	None	0
NP_012859.1	NP_014441.1	None	0
NP_014903.1	NP_015107.1	None	0
NP_014448.1	NP_014664.1	None	0
NP_009365.1	NP_013877.1	None	0
NP_009738.1	NP_013323.1	None	0
NP_014218.2	NP_014544.1	None	0
NP_014015.1	NP_009595.1	None	0
NP_010310.1	NP_011936.1	None	0
NP_013505.4	NP_015414.2	None	0
NP_009912.2	NP_011709.1	None	0
NP_011519.3	NP_013597.1	None	0
NP_015489.1	NP_014755.1	None	0
NP_011276.1	NP_015453.1	None	0
NP_013956.1	NP_014444.1	None	0
NP_010920.3	NP_012749.1	None	0
NP_011320.3	NP_012501.1	None	0
NP_011675.1	NP_012918.1	None	0
NP_013267.1	NP_012028.1	None	0
NP_013293.1	NP_011663.3	None	0
NP_010770.3	NP_009816.1	None	0
NP_015373.1	NP_014102.1	None	0
NP_010583.1	NP_011761.3	None	0
NP_010653.1	NP_012017.1	None	0
NP_015089.1	NP_014350.1	None	0
NP_010186.1	NP_010115.1	None	0
NP_015077.1	NP_010704.1	None	0
NP_012606.3	NP_015208.1	None	0
NP_011015.3	NP_010737.1	None	0
NP_013459.1	NP_013682.1	None	0
NP_010345.3	NP_014045.1	None	0
NP_011043.1	NP_012109.1	None	0
NP_013117.1	NP_009992.1	None	0
NP_011643.1	NP_015317.1	None	0
NP_012288.1	NP_013879.1	None	0
NP_012122.3	NP_013662.1	None	0
NP_012176.1	NP_012890.1	None	0
NP_011943.2	NP_011673.1	None	0
NP_116687.1	NP_010770.3	None	0
NP_011987.1	NP_010616.3	None	0
NP_010237.1	NP_014775.3	None	0
NP_010135.1	NP_010772.1	None	0
NP_011848.1	NP_013809.1	None	0
NP_014338.3	NP_011523.3	None	0
NP_015358.1	NP_012725.1	None	0
NP_013115.1	NP_011560.3	None	0
NP_013677.1	NP_009937.2	None	0
NP_012631.3	NP_010133.1	None	0
NP_012160.2	NP_012924.2	None	0
NP_012918.1	NP_010487.3	None	0
NP_014980.3	NP_009813.1	None	0
NP_012420.1	NP_015487.1	None	0
NP_012547.2	NP_014991.1	None	0
NP_010717.1	NP_014685.1	None	0
NP_010487.3	NP_011321.1	None	0
NP_009557.1	NP_012725.1	None	0
NP_014855.3	NP_014218.2	None	0
NP_012141.1	NP_014450.3	None	0
NP_014324.3	NP_009404.1	None	0
NP_009917.1	NP_010580.1	None	0
NP_013888.1	NP_013451.1	None	0
NP_012604.1	NP_012039.1	None	0
NP_011643.1	NP_014905.1	None	0
NP_009849.1	NP_015488.1	None	0
NP_012170.1	NP_010761.3	None	0
NP_011848.1	NP_011575.1	None	0
NP_010770.3	NP_012923.3	None	0
NP_009780.1	NP_012949.1	None	0
NP_116709.3	NP_013763.1	None	0
NP_012808.1	NP_010186.1	None	0
NP_014151.1	NP_010413.3	None	0
NP_012160.2	NP_116666.1	None	0
NP_014630.1	NP_009712.1	None	0
NP_013023.3	NP_010777.3	None	0
NP_011043.1	NP_010135.1	None	0
NP_015232.1	NP_014985.1	None	0
NP_012655.3	NP_012017.1	None	0
NP_011628.4	NP_013818.1	None	0
NP_009656.2	NP_014570.1	None	0
NP_011392.1	NP_011523.3	None	0
NP_010353.3	NP_013811.1	None	0
NP_013393.1	NP_015170.1	None	0
NP_013125.1	NP_011382.1	None	0
NP_009365.1	NP_015303.1	None	0
NP_012606.3	NP_013115.1	None	0
NP_010770.3	NP_011643.1	None	0
NP_012220.3	NP_011836.1	None	0
NP_014151.1	NP_010553.3	None	0
NP_012897.3	NP_013126.1	None	0
NP_011716.3	NP_010681.1	None	0
NP_011523.3	NP_011575.1	None	0
NP_013064.1	NP_012501.1	None	0
NP_013533.1	NP_014855.3	None	0
NP_012039.1	NP_009816.1	None	0
NP_011276.1	NP_010914.3	None	0
NP_013677.1	NP_013023.3	None	0
NP_011421.1	NP_009835.3	None	0
NP_013618.1	NP_014807.3	None	0
NP_012051.3	NP_012530.1	None	0
NP_011451.1	NP_014382.1	None	0
NP_012673.3	NP_014412.1	None	0
NP_014767.3	NP_014717.2	None	0
NP_011320.3	NP_010551.1	None	0
NP_011451.1	NP_014429.3	None	0
NP_015358.1	NP_010524.3	None	0
NP_013066.1	NP_010616.3	None	0
NP_013099.1	NP_015107.1	None	0
NP_011628.4	NP_116709.3	None	0
NP_011596.1	NP_011451.1	None	0
NP_014084.1	NP_013834.1	None	0
NP_011760.3	NP_015096.1	None	0
NP_010606.1	NP_013297.1	None	0
NP_012218.1	NP_013099.1	None	0
NP_013698.1	NP_012818.1	None	0
NP_010135.1	NP_011801.1	None	0
NP_014167.1	NP_015374.1	None	0
NP_013811.1	NP_010329.1	None	0
NP_013427.1	NP_014808.1	None	0
NP_013851.1	NP_011486.1	None	0
NP_013811.1	NP_009704.1	None	0
NP_010310.1	NP_013662.1	None	0
NP_010859.1	NP_012381.1	None	0
NP_012259.3	NP_015170.1	None	0
NP_015170.1	NP_012040.1	None	0
NP_012749.1	NP_014663.1	None	0
NP_012524.3	NP_010012.1	None	0
NP_011727.3	NP_013618.1	None	0
NP_009813.1	NP_014952.1	None	0
NP_012673.3	NP_014905.1	None	0
NP_014930.1	NP_012420.1	None	0
NP_015463.1	NP_013351.1	None	0
NP_010329.1	NP_011661.2	None	0
NP_013930.1	NP_116654.1	None	0
NP_013264.1	NP_012524.3	None	0
NP_011272.1	NP_010041.2	None	0
NP_014664.1	NP_012520.1	None	0
NP_014382.1	NP_013102.1	None	0
NP_014395.3	NP_010452.1	None	0
NP_015481.1	NP_014886.1	None	0
NP_014025.1	NP_012875.2	None	0
NP_012331.1	NP_014412.1	None	0
NP_011979.1	NP_011575.1	None	0
NP_009759.3	NP_009793.1	None	0
NP_010064.1	NP_010003.2	None	0
NP_011727.3	NP_014897.1	None	0
NP_015165.1	NP_014788.1	None	0
NP_013930.1	NP_014126.1	None	0
NP_014630.1	NP_010254.1	None	0
NP_013884.1	NP_014663.1	None	0
NP_013533.1	NP_015317.1	None	0
NP_014391.1	NP_012547.2	None	0
NP_011786.1	NP_012924.2	None	0
NP_012109.1	NP_012864.1	None	0
NP_012028.1	NP_013304.1	None	0
NP_014448.1	NP_015473.1	None	0
NP_014224.2	NP_010390.3	None	0
NP_012797.1	NP_011362.3	None	0
NP_013440.1	NP_013809.1	None	0
NP_011100.1	NP_010972.1	None	0
NP_013533.1	NP_014441.1	None	0
NP_009793.1	NP_010770.3	None	0
NP_011836.1	NP_013248.1	None	0
NP_009761.4	NP_010068.1	None	0
NP_012431.1	NP_011273.1	None	0
NP_010237.1	NP_013198.1	None	0
NP_011727.3	NP_013392.1	None	0
NP_010616.3	NP_011671.3	None	0
NP_015443.1	NP_010390.3	None	0
NP_010413.3	NP_009704.1	None	0
NP_011335.1	NP_010083.1	None	0
NP_010580.1	NP_009545.2	None	0
NP_011979.1	NP_012123.1	None	0
NP_014896.3	NP_010254.1	None	0
NP_012124.1	NP_014980.3	None	0
NP_013161.1	NP_011092.1	None	0
NP_012220.3	NP_012522.2	None	0
NP_015247.1	NP_013618.1	None	0
NP_010003.2	NP_010206.1	None	0
NP_010065.2	NP_014404.3	None	0
NP_012420.1	NP_012472.1	None	0
NP_014040.1	NP_010334.1	None	0
NP_010254.1	NP_014025.1	None	0
NP_011272.1	NP_015510.1	None	0
NP_011902.1	NP_012949.1	None	0
NP_012259.3	NP_013513.3	None	0
NP_011702.1	NP_013126.1	None	0
NP_010920.3	NP_444296.1	None	0
NP_012074.3	NP_014902.3	None	0
NP_012725.1	NP_009811.3	None	0
NP_014437.1	NP_012892.1	None	0
NP_015096.1	NP_012875.2	None	0
NP_010449.1	NP_009712.1	None	0
NP_013323.1	NP_013749.1	None	0
NP_015313.1	NP_010449.1	None	0
NP_009364.1	NP_013972.1	None	0
NP_013387.1	NP_014635.1	None	0
NP_116664.1	NP_010932.1	None	0
NP_013877.1	NP_013126.1	None	0
NP_010863.1	NP_012431.1	None	0
NP_014886.1	NP_012242.1	None	0
NP_012039.1	NP_010426.1	None	0
NP_015064.1	NP_014045.1	None	0
NP_013834.1	NP_014808.1	None	0
NP_009635.1	NP_011702.1	None	0
NP_014363.1	NP_013293.1	None	0
NP_013161.1	NP_012381.1	None	0
NP_013351.1	NP_012218.1	None	0
NP_013387.1	NP_014267.1	None	0
NP_010704.1	NP_013763.1	None	0
NP_010862.1	NP_010376.3	None	0
NP_010365.3	NP_009835.3	None	0
NP_009701.3	NP_013066.1	None	0
NP_012540.3	NP_011902.1	None	0
NP_013643.1	NP_009557.1	None	0
NP_013888.1	NP_010616.3	None	0
NP_009796.1	NP_011562.1	None	0
NP_014414.3	NP_014377.1	None	0
NP_009573.1	NP_009759.3	None	0
NP_010597.3	NP_014450.3	None	0
NP_012892.1	NP_014517.1	None	0
NP_010414.3	NP_011577.3	None	0
NP_015486.1	NP_009635.1	None	0
NP_015313.1	NP_015374.1	None	0
NP_013346.1	NP_011691.1	None	0
NP_014412.1	NP_014902.3	None	0
NP_011661.2	NP_013697.1	None	0
NP_014122.1	NP_009356.1	None	0
NP_010345.3	NP_013602.1	None	0
NP_012169.1	NP_009365.1	None	0
NP_010353.3	NP_012872.2	None	0
NP_014643.1	NP_015345.1	None	0
NP_013198.1	NP_010707.3	None	0
NP_011946.1	NP_012834.1	None	0
NP_009652.2	NP_014630.1	None	0
NP_013778.1	NP_013647.1	None	0
NP_011786.1	NP_014338.3	None	0
NP_013888.1	NP_012270.1	None	0
NP_010761.3	NP_011272.1	None	0
NP_013251.1	NP_009755.1	None	0
NP_013065.1	NP_010932.1	None	0
NP_009793.1	NP_012381.1	None	0
NP_011304.2	NP_011281.1	None	0
NP_010277.1	NP_009835.3	None	0
NP_012160.2	NP_014624.1	None	0
NP_011517.1	NP_010138.1	None	0
NP_014866.3	NP_013251.1	None	0
NP_011936.1	NP_010946.3	None	0
NP_015080.1	NP_015470.1	None	0
NP_009573.1	NP_012292.3	None	0
NP_013894.1	NP_012725.1	None	0
NP_013309.1	NP_014268.1	None	0
NP_010133.1	NP_014952.1	None	0
NP_011517.1	NP_014755.1	None	0
NP_014414.3	NP_012883.1	None	0
NP_013764.1	NP_014281.1	None	0
NP_015232.1	NP_014808.1	None	0
NP_012522.2	NP_010167.1	None	0
NP_014855.3	NP_010995.1	None	0
NP_015453.1	NP_010138.1	None	0
NP_011575.1	NP_012629.1	None	0
NP_010064.1	NP_014807.3	None	0
NP_012259.3	NP_011320.3	None	0
NP_010133.1	NP_011850.1	None	0
NP_012843.1	NP_015470.1	None	0
NP_012526.1	NP_012332.1	None	0
NP_009595.1	NP_013317.1	None	0
NP_014177.1	NP_013692.1	None	0
NP_012170.1	NP_012040.1	None	0
NP_014775.3	NP_014214.1	None	0
NP_013309.1	NP_012604.1	None	0
NP_012631.3	NP_011390.2	None	0
NP_012058.1	NP_009849.1	None	0
NP_013552.3	NP_012332.1	None	0
NP_011421.1	NP_011362.3	None	0
NP_009813.1	NP_014685.1	None	0
NP_116617.1	NP_015295.1	None	0
NP_010652.3	NP_010414.3	None	0
NP_012522.2	NP_014904.3	None	0
NP_010254.1	NP_012160.2	None	0
NP_010086.2	NP_014414.3	None	0
NP_116650.1	NP_012011.1	None	0
NP_011577.3	NP_116636.1	None	0
NP_014991.1	NP_013219.1	None	0
NP_014788.1	NP_014570.1	None	0
NP_013064.1	NP_009813.1	None	0
NP_015486.1	NP_010364.1	None	0
NP_011801.1	NP_012420.1	None	0
NP_013834.1	NP_014017.1	None	0
NP_010281.1	NP_009755.1	None	0
NP_015329.1	NP_011577.3	None	0
NP_009490.1	NP_013126.1	None	0
NP_011523.3	NP_012201.1	None	0
NP_012040.1	NP_011519.3	None	0
NP_014886.1	NP_009992.1	None	0
NP_010646.4	NP_015192.1	None	0
NP_013727.1	NP_011505.1	None	0
NP_014630.1	NP_010186.1	None	0
NP_012859.1	NP_015376.1	None	0
NP_013248.1	NP_010786.3	None	0
NP_010585.3	NP_009351.1	None	0
NP_009364.1	NP_009937.2	None	0
NP_011267.1	NP_116656.1	None	0
NP_012841.1	NP_009712.1	None	0
NP_011320.3	NP_010460.1	None	0
NP_012203.1	NP_013888.1	None	0
NP_013682.1	NP_013513.3	None	0
NP_013764.1	NP_011561.3	None	0
NP_013987.1	NP_009356.1	None	0
NP_009779.3	NP_010310.1	None	0
NP_013099.1	NP_012040.1	None	0
NP_014280.3	NP_014025.1	None	0
NP_009404.1	NP_009635.1	None	0
NP_014630.1	NP_013753.1	None	0
NP_013818.1	NP_013818.1	None	0
NP_015232.1	NP_010606.1	None	0
NP_014866.3	NP_010946.3	None	0
NP_012530.1	NP_010932.1	None	0
NP_010066.1	NP_013764.1	None	0
NP_009545.2	NP_015232.1	None	0
NP_013818.1	NP_014755.1	None	0
NP_013125.1	NP_012916.1	None	0
NP_009811.3	NP_014866.3	None	0
NP_012170.1	NP_015224.1	None	0
NP_010681.1	NP_011015.3	None	0
NP_009779.3	NP_012883.1	None	0
NP_009738.1	NP_015088.1	None	0
NP_010329.1	NP_010888.1	None	0
NP_015179.1	NP_015282.1	None	0
NP_012259.3	NP_010459.1	None	0
NP_013323.1	NP_012725.1	None	0
NP_012074.3	NP_010055.1	None	0
NP_009849.1	NP_013363.1	None	0
NP_011422.1	NP_013293.1	None	0
NP_013677.1	NP_009994.2	None	0
NP_012202.1	NP_012122.3	None	0
NP_014775.3	NP_010332.3	None	0
NP_014430.1	NP_010920.3	None	0
NP_015335.1	NP_015313.1	None	0
NP_010707.3	NP_015247.1	None	0
NP_014155.1	NP_014689.1	None	0
NP_015088.1	NP_010390.3	None	0
NP_013378.1	NP_012426.1	None	0
NP_014499.2	NP_010280.1	None	0
NP_009626.1	NP_013698.1	None	0
NP_012875.2	NP_011517.1	None	0
NP_010329.1	NP_015453.1	None	0
NP_014855.3	NP_012220.3	None	0
NP_010995.1	NP_010914.3	None	0
NP_013126.1	NP_014902.3	None	0
NP_010448.1	NP_013585.1	None	0
NP_013879.1	NP_010216.1	None	0
NP_014808.1	NP_116687.1	None	0
NP_010121.1	NP_015437.1	None	0
NP_012017.1	NP_010652.3	None	0
NP_012381.1	NP_013707.1	None	0
NP_010740.3	NP_012897.3	None	0
NP_014112.1	NP_015247.1	None	0
NP_015247.1	NP_013107.1	None	0
NP_010859.1	NP_014664.1	None	0
NP_012272.3	NP_013341.1	None	0
NP_013778.1	NP_015247.1	None	0
NP_012424.1	NP_010442.3	None	0
NP_012547.2	NP_013304.1	None	0
NP_013854.1	NP_011577.3	None	0
NP_014275.3	NP_013647.1	None	0
NP_010121.1	NP_013749.1	None	0
NP_116650.1	NP_014771.3	None	0
NP_009557.1	NP_012524.3	None	0
NP_015313.1	NP_116629.1	None	0
NP_010863.1	NP_014788.1	None	0
NP_014630.1	NP_013697.1	None	0
NP_010413.3	NP_009984.1	None	0
NP_010740.3	NP_013387.1	None	0
NP_013392.1	NP_012327.1	None	0
NP_015077.1	NP_013692.1	None	0
NP_011392.1	NP_116656.1	None	0
NP_014178.1	NP_013323.1	None	0
NP_015165.1	NP_014640.1	None	0
NP_116615.1	NP_013387.1	None	0
NP_009806.3	NP_013451.1	None	0
NP_010995.1	NP_009490.1	None	0
NP_013834.1	NP_011362.3	None	0
NP_012420.1	NP_011320.3	None	0
NP_011929.1	NP_014328.3	None	0
NP_011727.3	NP_011643.1	None	0
NP_009365.1	NP_014151.1	None	0
NP_015463.1	NP_014448.1	None	0
NP_010401.1	NP_012242.1	None	0
NP_012520.1	NP_014717.2	None	0
NP_013064.1	NP_012547.2	None	0
NP_014932.1	NP_012872.2	None	0
NP_014400.1	NP_011035.1	None	0
NP_010707.3	NP_012540.3	None	0
NP_014224.2	NP_013346.1	None	0
NP_013847.1	NP_009626.1	None	0
NP_015224.1	NP_009928.1	None	0
NP_014624.1	NP_011727.3	None	0
NP_012040.1	NP_012651.1	None	0
NP_010648.3	NP_012220.3	None	0
NP_012834.1	NP_010888.1	None	0
NP_015107.1	NP_010253.2	None	0
NP_014375.1	NP_012540.3	None	0
NP_013304.1	NP_010414.3	None	0
NP_012011.1	NP_012259.3	None	0
NP_014855.3	NP_014328.3	None	0
NP_011517.1	NP_015481.1	None	0
NP_013125.1	NP_015463.1	None	0
NP_010167.1	NP_015443.1	None	0
NP_014819.3	NP_013099.1	None	0
NP_010580.1	NP_014102.1	None	0
NP_013309.1	NP_015192.1	None	0
NP_014335.1	NP_011786.1	None	0
NP_013309.1	NP_011321.1	None	0
NP_015376.1	NP_010707.3	None	0
